"","x"
"48","[열정과 팀워크로 이룬 마지막 도전]4학년 졸업 작품 설계시간이었습니다. 4인이 한 조가 되어 MCU를 이용한 작품을 만들어야 했습니다. 흔히 말하는 족보처럼 학점받기 쉬운 소재들이 많았지만 저희는 4년간의 배움이 헛되지 않으려 드론 만들기에 도전했습니다. 부품 하나하나 직접 연결하고 코딩도 저희 손으로 직접 작성하는 것이 목표였습니다.전원, 모터, ESC, 프레임 등 모든 부품을 해외에서 직접 구매하였고, 보드는 아두이노 우노를 사용하였습니다. 저희들만의 네이버 밴드를 만들어 매일 정보를 찾고 공유할 정도로 열심히 했습니다. 정보수집이 끝나고 9축 센서를 부착해 X-축과 Y-축 PID제어를 하려했지만 생각처럼 쉽지는 않았습니다. PID 각각의 값에 따라 드론은 다르게 동작했고 정확한 값을 찾기란 매우 어려웠습니다. 이를 위해 PID관련 서적을 셀 수 없이 많이 빌려 읽었고 드론 관련 인터넷 글들을 읽고 또 읽었습니다. 정확한 값을 찾기 위해 며칠 밤낮을 자취방에서 함께 먹고자며 실험했습니다. 어느 프로젝트보다 힘들었지만 대학생활 마지막 도전이기에 모두가 열정을 다했고 서로 격려했습니다. 그 결과 드론을 띄우는 것에 성공하였고 저희의 열정에 대한 교수님의 칭찬과 좋은 학점을 받을 수 있었습니다.해당 프로젝트를 통하여 협력의 중요성과 재미를 깨달았습니다. 혼자였다면 오래 걸렸을 일들을 같이 정보를 수집하고 의논하며 빠른 시간 안에 가능하게 만들었습니다. 또한, 팀원들과의 성취감과 감동은 혼자였을 때보다 훨씬 컸습니다. 그 후로 제가 원하는 삶은 도전하는 삶, 함께하는 삶이 되었습니다. LG디스플레이의 일원으로 팀원들과 협력하며 공정이 개선될 수 있는 사항이 있다면 도전하는 공정 전문가가 되겠습니다.                         874자1,479                    "
"49","내가 생각하는 10년 후의 집이란 공간앞으로 친환경을 넘어 자연의 느낌을 느낄 수 있는 방향으로 건장재 트렌드가 흘러 갈 것이라고 생각합니다. 점점 아토피와 같은 질병을 갖고 태어나는 아이들이 많아지고 있습니다. 이런 아이들뿐만 아니라 모든 사람이 많은 시간 직, 간접적으로 접촉하는 건장재의 건강과 관련된 기능성이 중요해 질 것입니다. 또한 많은 스트레스를 받는 현대인에게 있어 중요한 휴식공간으로서의 집에 대해 관심도 계속해서 증가할 것이라고 생각합니다. 건강과 힐링, 두 가지 방향은 모두 자연을 느낄 수 있는 건장재라는 목적지로 도달할 것이라고 생각합니다.10년 후 이렇게 고급화 된 건장재의 생산성 향상 및 품질안정화 업무를 하고 싶습니다. 생산기술업무를 통해 연구개발된 건장재 들의 양산이 원활하게 그리고 품질 규격에 맞게 일정한 품질로 생산될 수 있도록 관리하겠습니다. 이를 통해 변화하는 고객의 니즈에 맞춰 제품을 문제없이 생산하여 공급하는데 기여하겠습니다.                         504자863                    "
"50","[ Internet of EVERYTHING. 만물 인터넷 시대를 맞이하여 ]만물 인터넷 시대가 다가오고 있습니다. 전자 제품의 서비스 영역이 생활 전반으로의 확장될 것이라는 기대와 함께, ""생활""과 ""기술""의 융합은 피할 수 없게 되었습니다. 이러한 만물 인터넷 시대를 맞이하여, 저의 전공인 인문학을 잘 살려 삶의 트렌드를 읽어내는 사람이 되고 싶습니다. 그리고 이를 영업에도 잘 적용하는 사람이 되고 싶습니다. 10년 후에는 이러한 전 세계인의 생활 속에서 제가 판매한 생활 가전이 사용되는 것을 꼭 보고 싶습니다.저의 전공은 서어서문학입니다. 또한 연계전공 또한 EML(Emerging Market and Latin America)입니다. 전공을 살려 주재원으로 나가는 것은 저의 오랜 꿈입니다. 먼 훗날에는 중남미 국가에 가서, LG전자의 해외시장진출을 성공적으로 이끌고 싶습니다.                         460자728                    "
"51","저는 10년 후 LG전자가 자동차 부품업계에서 당당히 1위 기업으로 자리매김하는데 주축이 되고 싶습니다.2020년부터 양산의 본격화가 예상되는 자율주행 차량은 2025년 시장 규모가 45조 원에 달한다고 전망되고 있습니다. 큰 시장이 기대되는 만큼 해외완성차 및 부품업체들은 자율주행기술개발을 꾸준히 하고 있으며 LG전자 또한 지난해 VC사업부에서 1조 원의 매출을 달성하며 높은 성장세로 규모를 키워가고 있습니다.점점 자동차가 전자화됨에 따라 운전자지원시스템(ADAS) 부품의 기술력은 더욱 회사가 성장하는데 필수적인 요소라고 생각합니다. 이러한 ADAS의 개발에서 비전인식분야는 저가의 센서로 고가센서를 대체할 수 있는 가장 중요한 기술입니다. 이러한 비전인식분야에서 국내 기업 중 가장 높은 기술력을 가지고 있는 LG전자는 앞으로 자율주행기술을 성공적으로 개발할 수 있는 기업입니다. 이러한 LG전자에서 근무하여 자율주행분야에서 으뜸가는 기업으로 성장하는데 이바지하고 싶습니다.                         506자858                    "
"52","저는 어렸을 때 조용한 성격이었습니다. 책 읽는 것을 좋아하고 체육 시간에는 친구들과 어울려 농구도 하며 평범하게 학교에 다니는 학생이었습니다. 그러다가 초등학교 4학년 때 저를 싫어하는 친구를 만나게 되었습니다. 이유는 왜인지는 모르겠지만, 저를 좋아하지 않았고 형이 같은 학교의 6학년이어서 아이들을 괴롭히며 다니던 친구였습니다. 조용한 성격이었던 저는 그냥 잘 지내다 보면 괜찮아질 것으로 생각했습니다. 그러다가 결국 그 친구에게 심하게 맞게 되었습니다. 큰 충격을 받고 그 이후 저는 가만히 있으면 안 되겠다고 생각하였고 그 친구가 괴롭힐 때 반항을 하였습니다. 반항하면서 저를 괴롭히는 친구는 줄어들었지만 언제나 나쁜 친구들은 있었고 그러다 보니 자주 싸우고 성격이 나빠지게 되었습니다. 5학년이 되어서는 저를 괴롭히는 친구는 없었지만 4학년 때 그 친구와 같이 저를 괴롭혔던 다른 한 친구는 계속해서 저와 마찰이 있었고 제 인생에서 가장 많이 싸운 1년을 보냈습니다. 그렇게 힘든 2년을 보내고 나니 성격이 거칠어졌었고 신경질적인 사람이 되었습니다. 그러다가 6학년이 되면서 담임 선생님을 만나게 되었습니다. 그 선생님은 제가 어디가 그렇게 좋으신지 책을 읽을 때나 발표를 할 때 제 번호를 부르기 위해 날짜를 더하고 빼며 어떻게든 제가 발표하게 하였고 언제나 관심을 가지고 저를 대해주셨고 일기를 써서 제출하면 그 날 있었던 일에 대해 코멘트를 달아주시고 제가 더 좋은 방향으로 갈 수 있게 지도해주셨습니다. 그러다 보니 점점 선생님과 아이들에게 좋은 모습을 보여주고 싶었고 저의 거칠었던 성격은 점점 순해지고 다른 아이들과 마찰이 없는 학생이 되었습니다. 중학교를 먼 곳으로 가게 되면서 선생님을 다시 뵙진 못했습니다. 한번의 아픔이 있었지만 이는 다른 사람의 아픔을 이해하는 계기가 되었고 그 이후 더 많은 친구들과 잘 지낼 수 있었습니다. 이러한 저의 장점은 LG화학에서 팀워크를 끌어올리는 데 도움이 될 것입니다. 이러한 팀워크로 LG화학의 발전에 앞장서겠습니다.                         1,022자1,747                    "
"53","[실수를 허용하지 않는 꼼꼼한 영업을 하겠습니다]영업에서는 꼼꼼함이 가장 중요하다고 생각합니다. 여러 거래처와 계약부터 시작해 수많은 사항을 관리해야 하기 때문입니다. 이런 면에서 저는 항상 모든 일에 정확함을 추구하기 때문에 자신이 있습니다. 시험을 치르거나 과제를 제출할 때 잘못된 부분이 없는지 3회 이상 검토를 했습니다. 그 예로 조별과제 사례가 있습니다. 약 한 달 이상의 조별과제를 끝내고 최종 제출만이 남았을 때, 저는 조원들에게 제가 최종 검토를 하겠다고 확인해 보았습니다. 그 결과, 그래프와 표의 수치가 잘못 입력된 것을 발견하 1고 수정, 제출하여 감점을 면할 수 있었습니다.서류의 내용 하나, 글씨 하나가 바뀌어 큰 문제를 일으킬 수도 있습니다. 영업을 하게 되면 약국의 주문관리, 재고관리, 수금관리 일 등 숫자를 정확히 다뤄야 할 일이 많은 만큼 신중하고 확실해야 합니다. 생명과학의 영업사원들이 얼마나 정확하고 철저한지 보여서 이미지 제고에 기여하겠습니다. 1                         516자872                    "
"54","물리 전자(2015)/B 학점 취득전자소자(2014)/A 학점 취득집적회로 공정(2015) /B 학점 취득집적회로 공정 실험(2015) /B 학점 취득졸업 프로젝트 1,2(2015) /각각 B 학점, A 학점 취득D군 블로그를 통한 LCD 공정, OLED 공정, 플랙서블 공정 등 다양한 지식 습득자동차 헤드라이트 공장(2013)/생산 공정 경험                         205자298                    "
"55","LG하우시스의 울산공장에서, 국내의 거의 모든 자동차에 들어가는 내장재를 생산해낸다는 자부심을 가지며 일하겠습니다. 이를 위해 입사 후 1년동안 배우겠다는 마음가짐을 바탕으로 모든 업무에 호기심을 갖고 선배 엔지니어들을 따라다니며 직무를 빠르게 습득하겠습니다. 부서나 팀에서 함께 일하는 동료뿐만 아니라 현장에서 근무하시는 분들과도 신뢰 있는 관계를 형성하며, 현장에서의 원활한 소통에 기여하겠습니다. 그리고 공장에서 항상 펜과 메모지를 들고 다니며 공정과 장치의 문제점, 해결 방안을 빠짐없이 기록한 저만의 ‘공정노트’를 만들겠습니다. 입사 5년 후에는 팀원들과 그 동안의 공정노트를 정리하여 공유하며, 더욱 효율적으로 기존 공정의 문제점들을 파악하고 개선하겠습니다. 또한 정기적으로 특허를 검색하며 신규로 출원되는 특허를 분석하고 그 동향을 파악하여, 10년 후에는 공정의 문제 해결뿐만 아니라 신규 프로젝트를 검토하고 추진하는 엔지니어로 성장할 것입니다.                         489자850                    "
"56","재료과학 (2013) / 산업에 이용되는 각종 재료들의 물성과 첨단 재료들에 대한 이해/ B+공업 화학 실험 (2014) / 반도체의 etching 속도 측정/ B+캠퍼스 특허전략 유니버시아드 (2014)/ 선행기술 조사 및 특허 분석을 토대로 보고서 작성 및 발표 / 장려상 수상LG디스플레이 Technical Talk (2014) / 최신 디스플레이, 차세대 디스플레이 기술 등을 접함 / 참석반도체 공정 공학 (2015) / 반도체의 물성, 작동 원리 및 제조 공정의 이해 / A+디스플레이 공학 (2015) / 반도체의 작동 원리를 바탕으로 OLED, LCD의 구조와 작동 원리의 이해 / A0반도체 공학 (2015) / 반도체의 물성과 작동 원리의 이해 및 응용(MOSFET, Solar Cell, LED, TFT-LCD) / A0캠퍼스 특허전략 유니버시아드 (2015) / 선행기술 조사 및 특허 분석을 토대로 보고서 작성 및 발표 / 장려상 수상 496자728                    "
"57","""로컬의 힘""을 메인 컨셉으로 내세운 브랜드 투마루가 중국에 진출하면 좋을 것 같습니다. 중국 뷰티 크리에이터 ""왕홍""과도 활발한 콜라보를 펼치고 있는 뷰티 편집숍 네이처 컬렉션의 주요 브랜드 중 하나인 투마루는 한국의 보물 같은 로컬 원료와 기술로 가장 ""한국스러운"" 화장품을 선보이고 있는 브랜드인 만큼, 투마루만이 어필할 수 있는 ""Local K-Beauty""의 매력을 필두로 적절한 마케팅 수단과 함께 중국에 진출한다면 더페이스샵과 같은 K-Beauty의 대표적인 브랜드로 거듭날 수 있을 거라 생각합니다.한국에서 MCN을 활용한 마케팅 시장이 점점 더 성장하고 있는 것처럼, 중국에서도 디지털 콘텐츠를 통한 마케팅 방식이 흥행하고 있습니다. 특히 지리적인 요인으로 인해 오프라인 보다 온라인이 더욱 효율적일 수밖에 없는 중국에서, 디지털 콘텐츠 마케팅은 선택이 아닌 필수가 되어가고 있습니다. 이런 흐름에 맞춘 구체적인 마케팅 전략으로, 전통과 문화를 중시하는 중국인의 심리를 겨냥해 투마루 화장품의 원료인 두부, 밀싹 등을 활용한 한식 요리 레시피를 공개, 또는 한식 전문가와 함께하는 요리 방송 등을 진행한다면 원료의 건강한 효능과 검증된 전통 방식 등 한국 로컬의 힘을 자연스럽게 소개할 수 있을 것입니다.또한, 한국 문화에 관심이 있는 중국인들은 자연스레 한국어를 배우고 싶어 한다는 점에서 착안하여 투마루의 로고, 제품 패키지 등에 돋보이는 한글 디자인을 활용해 한글 튜토리얼 콘텐츠를 기획, 중한 MCN 크리에이터와 함께 제작한다면 조금 더 친숙하고 재미있게 중국 소비자에게 다가갈 수 있을 거라 생각합니다. 1                         811자1,371                    "
"58","[주파수 통신과 그 한계의 극복, VLC]저는 VLC기술 상용화의 선두주자에 LG전자와 함께 하고 싶습니다. 최근 2.1 및 2.6GHz의 황금주파수의 할당을 놓고, 방송 및 통신사간의 치열한 대립이 있었습니다. 첨예한 갈등이 일어나는 이유는 무선통신에서 한정된 주파수가 가지는 한계 때문이라고 생각합니다. 저는 주파수의 한계의 극복을 위해, 미래의 기술인 VLC가 상용화되어야 한다고 생각합니다. VLC는 RF무선과 다르게 인증이 필요 없으며, 주파수가 가지는 간섭도 없습니다. 또한 고속 스위칭의 LED의 사용으로, LTE-A보다 60배나 빨라 점점 더 고속화 되어가는 통신 시대에 적합하다고 판단되며, 그 보안성 또한 뛰어납니다. 어쩌면 신기술 상용화에 앞장선다는 것은 리스크가 큰 도전일 수도 있습니다. 하지만 도전을 꺼리는 것은 세계적인 LG전자의 입지를 다지는데 걸림돌이 될 것입니다. 저는 VLC기술의 상용화에 앞장서서 새로운 시대를 여는 LG전자의 선봉장이 되고 싶습니다.                         508자836                    "
"59","저는 새로운 것을 접하고 그것을 통해 제 주변에 도움을 주는 것을 좋아합니다.저는 어릴 때부터 다양한 전자제품을 사용하는 것을 좋아했습니다. 주변에 있는 기계를 만져 보고, 새로운 걸 발견하면 가족에게 알려 주고는 하였습니다. 기능이 있음에도 아무도 몰랐던 것들을 발견하며 보람을 느꼈습니다. 학창시절에는 컴퓨터 관리를 맡아서 하였고, 주변에서 MP3 플레이어같은 작은 전자제품을 사용하다가 모르는 게 있으면 제게 찾아와서 물어보기도 했습니다. 또한 다양한 전자제품을 사고 팔면서 새로운 것들을 접하는 즐거움을 느꼈습니다. 1대학교에 진학해서는 고전음악 감상 동아리에서 활동하였습니다. 현재까지 활동하며 음향 장비 조작을 가르쳐 주는 역할을 했고 동아리방의 환경을 개선하는 데도 항상 관심을 가졌습니다.한편 저는 2년간 공군에서 정훈병으로 복무했습니다. 새로운 것을 배우는 보람과 다른 사람을 도와 주는 즐거움으로 군 생활을 보냈습니다. 영화 상영, 영상 촬영과 편집 등 많은 새로운 일을 배우면서 보람을 느꼈고, 새로운 장비가 들어오면 가장 먼저 배워서 알려주고, 자전거를 도맡아서 수리해 주기도 했습니다.전역 이후에는 제 전공과 관련이 깊은 데이터 처리와 분석에 대해 관심을 가져 빅데이터 동아리에 가입하였습니다. 데이터 처리를 위해 통계패키지인 R과 프로그래밍 언어인 PYTHON을 배웠습니다. 동아리에서 활동하면서 프로그래밍을 배우는 것에 즐거움을 느꼈고, 데이터를 처리하고 분석하는 것에 대한 흥미를 가지게 되었습니다. 한편 동아리원들과 엠티를 갔었는데, 개인적으로 재료를 더 사와서 끓여 준 찌개가 반응이 매우 좋았던 것이 동아리에서 가장 보람 있는 일이었습니다. 올해 여름에 롯데멤버스에서 했던 인턴 프로그램에서는 SAS를 사용하여 데이터 분석 경험을 쌓았습니다. 1작년 10월 부터는 여러 방면에서 도움을 받았던 교내 커뮤니티에 보탬이 되고자 게시판 관리자를 맡아 불량 게시물을 삭제하고 유저와 소통하는 일을 맡고 있습니다.                         979자1,689                    "
"60","LG CNS에 입사하게 된다면 먼저 업무를 위한 프로그래밍 역량을 끌어 올리는 데 최선을 다하겠습니다. 더불어 일하게 되는 분야에 대한 배경지식도 꾸준히 공부해서 프로그래밍 능력과 결합하여 더 나은 결과를 얻을 수 있도록 하겠습니다. 당장 하게 되는 일 뿐 아니라 새로운 것을 받아들이는 데 주저하지 않고 앞서서 배워 다른 사람에게 도움을 줄 수 있는 사원이 되겠습니다. 새로운 것을 좋아하는 제 마음가짐을 통해 어떤 일을 맡더라도 적응할 수 있는 인재가 될 수 있도록 노력하겠습니다. 10년 후에는 제 경험과 능력, 그리고 시너지를 발휘할 수 있는 소통 능력을 바탕으로 프로젝트의 주도적인 위치에 서서 좋은 결과를 이끌어내는 것이 목표이며, 제가 담당하는 분야에서 사람들이 먼저 떠올릴만한 전문가가 되는 것이 장기적인 목표입니다. 1                         409자701                    "
"61","담당 지역의 양판점/대리점이 최고의 판매 역량을 갖추게 함으로써 상권 내 최대 효율의 경쟁력을 발휘할 수 있게 만들겠습니다. 목표 달성을 위해 다음과 같은 구체적 계획을 설정했으며, 반드시 목표를 이행하겠습니다.1년, 관리자의 자격제품과 시장에 대해 열의를 가지고 공부하여 입사 1년 내에 한 사람 몫 그 이상을 할 수 있는 영업관리자가 되겠습니다.3년, Channel Booster현장을 통찰력있는 시각으로 조망하며 매장 환경 및 판매 방식의 문제점을 개선해 나가겠습니다. 이를 통해 담당 지역 내 모든 매장이 최대의 매출/영업이익 상의 성과를 낼 수 있게 하겠습니다.5년, 현장의 마에스트로고객을 누구보다 잘 알고, 고객에게 사랑받는 매장을 조성하고 판매원을 양성하는 영업관리자로 자리 잡겠습니다.10년, Supporting Leader신 성장동력을 모색하며, 후배들이 더욱 효율적으로 기분좋게 일할 수 있는 환경을 조성하는 리더로 성장하겠습니다.                         500자820                    "
"62","1.	프로젝트 - IOT기반 원격 전원 차단 장치안드로이드 어플리케이션을 통해 공정 내 실시간 전력량 체크 및 원격으로 기기의 전원을 차단할 수 있는 작품 설계2.	제어공학 실험 : A0학점취득제어시스템의 해석, 모델링 및 공정제어에 적용되는 고차제어시스템 사례들의 안정도 판별 및 제어를 위한 이론 교육, PID제어기 설계3.	로봇공학 : A0학점취득manipulator 제어를 위한 공간 표현 및 변환, 기구학, 역기구학, 궤적 생성, 자율 주행 제어 교육, 휴머노이드 제작 및 제어 프로젝트 진행4.	기초회로실험 : A0학점취득5.	전자회로1 : A+학점취득6.	회로이론1 : A0학점취득7.	회로이론2 : A+학점취득8.	전자회로실험 : A+학점취득디지털 소자를 이용한 기본 회로의 특성 교육, 전력 증폭기 설계 진행9.	전자종합설계 : A+학점취득자동볼륨조절 블루투스 스피커 제작 프로젝트 진행, 음성신호 처리 및 디지털신호처리 과정 진행, 팀과제를 통한 협동심 배양10.	전력전자공학 : A0학점취득                         537자855                    "
"63","지원 회사 선택 시 제 자신에게 묻는 질문은 두 개입니다. 첫 번째 질문은 ‘끊임없이 도전하고 혁신하는 회사인가?’이고 두 번째 질문은 ‘내가 그 회사에 기여할 수 있는가?’입니다. 이 두 질문에 제가 자신 있게 대답할 수 있는 회사가 LG상사였습니다. [도전의 가치를 알고 있습니다]저의 인생의 중요한 순간에 도전하는 것을 주저하지 않았습니다. 고등학교 선택 시 전통이 있는 외국어 고등학교 대신에 개교한지 1년이 되는 외고를 선택했고, 대학교도 새로 개설된 학과를 선택했습니다. 이러한 도전을 통해 저는 한 단계 더 성장할 수 있었습니다.제가 진학한 고등학교는 기숙사학교였습니다. 아직 미성숙했던 시절 저는 기숙사 생활을 통해 커뮤니케이션 능력과 적극적인 대인관계 능력을 기를 수 있었습니다. 대학교에서는 저의 과만의 수강선택 정책으로 인해 전문성을 가진 Generalist로서의 역량을 키울 수 있었습니다. 도전은 저의 발전과 성장의 원동력입니다.[LG상사는 고인 물이 아닙니다] 고인 물은 썩는다는 속담에서 알 수 있듯 발전 없는 사람은 남보다 뒤떨어지게 됩니다. 저는 도전을 한 경험을 통해 사람처럼 기업도 도전과 혁신을 하지 않는다면 고인 물이 되어 성장하지 못 할 것이고 위기에 빠질 것이라는 것을 알게 되었습니다.                          652자1,098                    "
"64","재무는 숫자와 한순간의 실수로 회사에 손실을 끼칠 수 있는 돈을 다루기 때문에 직무지식과 더불어 분석력과 꼼꼼함이 필요하다고 생각합니다.[재무에 열정을 쏟았습니다]XXX 프로젝트를 수행했습니다. 재무를 담당한 저는 재무팀의 업무를 간접 체험했습니다. 재무적 접근을 통해 회사를 종합적으로 지원하는 역할이 매력적이었습니다. 재무의 중요함을 느꼈고 흥미를 가졌습니다. 전공학점의 약 50%를 재무 관련 과목으로 수강했고 평균 4.0 이상의 학점을 받았습니다 재무와 관련된 진로를 고민했고 회계사에 도전했습니다. 1차만 통과하고 최종 합격은 하지 못했지만 재무, 회계학 그리고 세법과 관련하여 심화된 지식을 습득했습니다. [꼼꼼함]1년여 동안 XXX에서 영문과 국문 서신 번역 검수 업무를 했습니다. 매주 10여 통의 국문과 영문으로 번역된 서신이 배정되었고, 잘못된 번역이나 오타가 없는지 꼼꼼히 확인했습니다. 1년여간 약 500여 통의 서신을 검수하였고 자연스럽게 꼼꼼함이 몸에 배었습니다.[분석력]XXX 인턴 당시 새롭게 도입되는 ERP에 대한 분석 지원 업무를 맡았습니다. ERP에 대한 지식이 없던 저는 전산부서에서 자료를 받아 공부했습니다. 기존 사용 ERP 매뉴얼과 도입되는 ERP 매뉴얼을 분석하여 차이점을 자료로 가공해서 팀원들에게 제공했습니다.[프로그램 활용 능력]복잡한 재무 데이터의 효율적 처리를 위해 필요한 엑셀과 같은 프로그램의 활용능력이 부족합니다. 실무활용도가 높은 컴퓨터 활용능력 1급 시험공부를 하여 프로그램 활용 능력을 기르겠습니다.심화된 직무지식과 역량을 갖췄습니다. 데이터 처리 활용 능력을 보완하여 재무 상황에 대한 정확한 분석을 제공하고 꼼꼼하게 현금흐름을 관리하여 LG전자에 기여하겠습니다.                         895자1,503                    "
"65","10년 후, 회계정보 분석 전문가가 되겠습니다. 결산 처리와 더불어 데이터 가공을 통해 정확한 재무정보를 제공하는 것이 회계팀의 업무라고 생각합니다. 꼼꼼한 데이터 처리로 정확한 정보를 제공하여 LG하우시스에 기여하겠습니다. LG하우시스의 영업이익률은 2분기 6%대를 기록하긴 했지만 연 기준으로는 5% 중반에서 정체되어있습니다. 경영진의 의사 결정에 필요한 정확한 정보를 제공하여 영업이익률 10%대 안착에 이바지하겠습니다. 이를 위해서 단기적으로는 재무제표 항목과 각 사업부문 간의 연계성과 자금 흐름을 공부하며 회사의 전반적인 이해를 하는 데 노력하겠습니다. 장기적으로는 재경관리사와 같은 자격증을 공부하여 직무 전문성을 향상시켜 이론과 실무 능력을 겸비한 전문가가 되겠습니다. 정확한 회계 정보제공으로 회사의 의사결정에 도움이 되어 LG하우시스가 ‘자연을 닮은, 사람을 담은 행복한 생활공간을 만듭니다’라는 비전을 실현하는데 든든한 지원자가 되겠습니다.                         493자848                    "
"66","[LG's Got Talent]듣는 이의 귀를 사로잡는 표현력과 정보 전달력은 저만의 강력한 경쟁력입니다. 대학교 4학년 때, 월드미스유니버시티 대회에 참가한 적이 있습니다. 첫 예비심사에선 짜여진 스트립트를 암기하여 스피치를 펼쳤습니다. 그러나 외운 스피치로는 상황에 맞는 대처를 할 수 없었고, 결국 만족스럽지 못한 결과를 얻었습니다.그 이후로는 스피치의 키워드만 잡아두고 자기 PR을 하는 훈련을 했습니다. 10박 11일의 합숙 기간 동안 밤늦게까지 이어지는 강행군에도, 숙소로 돌아와 새벽까지 거울을 보며 연습을 거듭했습니다. 그 결과, 본대회 무대에서 상황에 맞는 애드리브를 던지는 여유도 보이며 심사위원들에게 좋은 점수를 얻을 수 있었고, 인기상이란 영예를 안게 되었습니다.표현력과 전달력을 무기로 정확하고 핵심적인 약품 정보를 전달하겠습니다. 여기에 재치와 센스를 더해 다시 한 번 꼭 만나보고 싶은 LG생명과학의 신입 영업사원 ooo가 되겠습니다.                         494자829                    "
"67","[프로젝트 경험]Insulator layer 종류(ZrO2/HfO2/None Oxide layer)에 따른 Flexible OTFT(PI Substrate) 제작 실습 및 소자 특성 비교 연구 / 교내 반도체 물성연구실(CO-OP)[학교 수강 교과목]고분자 화학 1 수강(2014) / A+학점 취득 / 고분자에 대한 전반적인 학습고분자 화학 실험2 수강(2014) / A+학점 취득 / 실험실에서 Photo lithography를 직접 실습고분자 산업의 최신동향(2014) / A+학점 취득 / 현재 디스플레이 시장에서 고분자 활용가치 및 미래 시장 전망 학습고분자 재료화학(2014) / A+학점 취득 / 다양한 종류의 디스플레이 원리, 구조, 재료 및 세부공정 학습반응공학(2015) / A+학점 취득 / 공정의 핵심인 반응조작 학습고분자 전자재료(2015) / B 학점 취득 / 반도체 8대 공정과 디스플레이 공정 및 공정 중 사용되는 고분자 재료 학습                         503자726                    "
"68","[프로젝트 경험]Insulator layer 종류(ZrO2/HfO2/None Oxide layer)에 따른 Flexible OTFT(PI Substrate) 제작 실습 및 소자 특성 비교 연구 / 교내 반도체 물성연구실(CO-OP)[학교 수강 교과목]고분자 화학 1 수강(2014) / A+학점 취득 / 고분자에 대한 전반적인 학습고분자 화학 실험2 수강(2014) / A+학점 취득 / 실험실에서 Photo lithography를 직접 실습고분자 산업의 최신동향(2014) / A+학점 취득 / 현재 디스플레이 시장에서 고분자 활용가치 및 미래 시장 전망 학습고분자 재료화학(2014) / A+학점 취득 / 다양한 종류의 디스플레이 원리, 구조, 재료 및 세부공정 학습반응공학(2015) / A+학점 취득 / 공정의 핵심인 반응조작 학습고분자 전자재료(2015) / B 학점 취득 / 반도체 8대 공정과 디스플레이 공정 및 공정 중 사용되는 고분자 재료 학습                         503자726                    "
"69","[공학도로서의 가치 실현]시바타 아키오의 ‘자원전쟁‘을 읽으며 공학도로서의 가치에 대해 깊은 고민을 해본 적이 있습니다. 공학도는 많은 사람이 더욱 편하고 우수한 생활을 누릴 수 있게 만드는 사람이라고 생각합니다. 우수한 제품을 생산하기 위해서는, 최적의 생산시스템을 통해 원가절감과 완벽한 품질을 이뤄내는 것이 최우선 과제입니다. 이에 차별화된 시스템 개발과 적재적소에 맞는 소재의 지원으로 제품의 가치를 최대로 끌어내는 LG전자 생산기술원 연구원은 제가 생각하는 공학도의 모습입니다.소재가 생산기술에 미치는 영향은 점점 커지고 있습니다. 반도체 연구실 CO-OP 기간, 설비 내 이물에 의한 특성저하 때문에 실험을 수차례 반복하며 생산방식과 장비가 생산성에 큰 영향을 주는 것을 확인했습니다. 두 번의 인턴실습으로 전공인 고분자뿐만 아니라, 금속에 대한 역량을 쌓았고, OSP, ENIG 등 PCB 표면처리 기술과 전자재료 실장기술의 고성능, 집적화 및 친환경화 동향을 직접 보고 분석했습니다. 이러한 역량을 바탕으로 LG전자 고유의 생산시스템으로서 생산성 향상과 전자 생산기술의 혁신을 이끄는 생산기술원 연구원이 되겠습니다.[소통과 협력의 리그위원장]생산기술원 연구원은 설계, 공정 등의 유관부서뿐만 아니라, 고객사의 요구를 정확히 이해하고 최대의 효과를 내기 위해 소통과 협력이 필요합니다.중앙축구동아리 르풋의 리그위원장으로 교내 14개 축구동아리가 참가하는 1년제 대회를 직접 운영했습니다. 원활한 운영을 위해 학교, 리그위원회와 충분한 소통을 하면서 경기일정, 구장대여, 물품구매를 분담하고 계획했습니다. 개막 후 참가팀과 경기일정에서 갈등이 생겼지만, 지속적인 대표자 회의로 개선하여 상호 협력적인 관계를 만들었습니다. 또한, 리그 개선을 위해 시행한 설문조사로 홍보가 부족함을 알게 됐고 SNS에 ‘르풋리그‘ 페이지를 개설하여 경기결과, 각종 이벤트를 공유했습니다. 그 결과 대회 스폰서를 얻어 운영비를 절감했고 결국 성공적인 대회로 마칠 수 있었습니다.                         1,022자1,741                    "
